,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
704,"City of Chula Vista, CA, United States",United States,GHG emission reduction target," The City of Chula Vista, CA has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.",Community,1990,,2020,,20.0,
705,"City of Chula Vista, CA, United States",United States,GHG emission reduction target," The City of Chula Vista, CA has committed to reduce its Local Government emissions by 20% by 2020 compared to 1990 emission level.",Local Government,1990,,2020,,20.0,
706,"City of Cincinnati, OH, United States",United States,GHG emission reduction target," The City of Cincinnati, OH has committed to reduce its Community emissions by 84% by 2050 compared to 2006 emission level.",Community,2006,,2050,,84.0,
707,"City of Cincinnati, OH, United States",United States,GHG emission reduction target," The City of Cincinnati, OH has committed to reduce its Local Government emissions by 84% by 2050 compared to 2006 emission level.",Local Government,2006,,2050,,84.0,
708,"City of Cleveland, OH, United States",United States,GHG emission reduction target," The City of Cleveland, OH has committed to reduce its Community emissions by 80% by 2050 compared to 2010 emission level.",Community,2010,12791996.0,2050,2558399.0,,10233596.0
709,"City of Cleveland, OH, United States",United States,GHG emission reduction target," The City of Cleveland, OH has committed to reduce its Local Government emissions by 45% by 2030 compared to 2010 emission level.",Local Government,2010,12791996.0,2030,2558399.0,45.0,10233596.0
710,"City of Coconut Creek, FL, United States",United States,GHG emission reduction target," The City of Coconut Creek, FL has committed to reduce its Local Government emissions by 20% by 2020 compared to 2009 emission level.",Local Government,2009,,2020,,20.0,
711,"City of Columbus, OH, United States",United States,GHG emission reduction target," The City of Columbus, OH has committed to reduce its Local Government emissions by 40% by 2030 compared to 2005 emission level.",Local Government,2005,,2030,,40.0,
712,"City of El Cerrito, CA, United States",United States,GHG emission reduction target," The City of El Cerrito, CA has committed to reduce its Community emissions by 30% by 2035 compared to Baseline scenario (BAU) reduction target emission level.",Community,2005,,2035,,30.0,
713,"City of El Cerrito, CA, United States",United States,GHG emission reduction target," The City of El Cerrito, CA has committed to reduce its Local Government emissions by 30% by 2035 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2005,,2035,,30.0,
714,"City of Emeryville, CA, United States",United States,GHG emission reduction target," The City of Emeryville, CA has committed to reduce its Community emissions by 40% by 2030 compared to Baseline scenario (BAU) reduction target emission level.",Community,2004,158062.0,2030,158062.0,,63224.0
715,"City of Fort Collins, CO, United States",United States,GHG emission reduction target," The City of Fort Collins, CO has committed to reduce its Community emissions by 100% by 2050 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2005,2410518.0,2050,0.0,,2410518.0
716,"City of Fort Collins, CO, United States",United States,Renewable energy target,"The City of Fort Collins, CO committed to increase its share of renewable energy in final energy mix in Community by 20% by 2020The target is going to be reached by activities in Electricity sector.",,,,,,,
717,"City of Fremont, CA, United States",United States,GHG emission reduction target," The City of Fremont, CA has committed to reduce its Community emissions by 25% by 2020 compared to 2005 emission level.",Community,2005,,2020,,25.0,
718,"City of Hawthorne, CA, United States",United States,GHG emission reduction target," The City of Hawthorne, CA has committed to reduce its Local Government emissions by 15% by 2020 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2005,,2020,,15.0,
719,"City of Hayward, CA, United States",United States,GHG emission reduction target," The City of Hayward, CA has committed to reduce its Community emissions by 82% by 2050 compared to 2005 emission level.",Community,2005,,2050,,82.0,
720,"City of Hayward, CA, United States",United States,GHG emission reduction target," The City of Hayward, CA has committed to reduce its Local Government emissions by 82% by 2050 compared to 2005 emission level.",Local Government,2005,,2050,,82.0,
721,"City of Houston, TX, United States",United States,GHG emission reduction target," The City of Houston, TX has committed to reduce its Local Government emissions by 5% by 2007 compared to 2005 emission level.",Local Government,2005,,2007,,5.0,
722,"City of Keene, NH, United States",United States,GHG emission reduction target," The City of Keene, NH has committed to reduce its Community emissions by 10% by 2015 compared to 1995 emission level.",Community,1995,,2015,,10.0,
723,"City of Keene, NH, United States",United States,GHG emission reduction target," The City of Keene, NH has committed to reduce its Local Government emissions by 20% by 2015 compared to 1995 emission level.",Local Government,1995,,2015,,20.0,
724,"City of Knoxville, TN, United States",United States,GHG emission reduction target," The City of Knoxville, TN has committed to reduce its Community emissions by 20% by 2020 compared to Baseline scenario (BAU) reduction target emission level.",Community,2005,,2020,,20.0,
725,"City of Las Cruces, NM, United States",United States,GHG emission reduction target," The City of Las Cruces, NM has committed to reduce its Local Government emissions by 7% by 2017 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2013,,2017,,7.0,
726,"City of Las Vegas, NV, United States",United States,GHG emission reduction target," The City of Las Vegas, NV has committed to reduce its Local Government emissions by 30% by 2030 compared to 2008 emission level.",Local Government,2008,,2030,,30.0,
727,"City of Los Altos, CA, United States",United States,GHG emission reduction target," The City of Los Altos, CA has committed to reduce its Community emissions by 30% by 2015 compared to 2005 emission level.",Community,2005,,2015,,30.0,
728,"City of Los Altos, CA, United States",United States,GHG emission reduction target," The City of Los Altos, CA has committed to reduce its Local Government emissions by 40% by 2015 compared to 2005 emission level.",Local Government,2005,,2015,,40.0,
729,"City of Manhattan Beach, CA, United States",United States,GHG emission reduction target," The City of Manhattan Beach, CA has committed to reduce its Community emissions by 7% by 2020 compared to 2005 emission level.",Community,2005,,2020,,7.0,
730,"City of Martinez, CA, United States",United States,GHG emission reduction target," The City of Martinez, CA has committed to reduce its Community emissions by 15% by 2020 compared to Baseline scenario (BAU) reduction target emission level.",Community,2005,,2020,,15.0,
731,"City of Martinez, CA, United States",United States,GHG emission reduction target," The City of Martinez, CA has committed to reduce its Local Government emissions by 15% by 2020 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2005,,2020,,15.0,
732,"City of Miami, FL, United States",United States,GHG emission reduction target," The City of Miami, FL has committed to reduce its Community emissions by 20% by 2020 compared to 2006 emission level.",Community,2006,,2020,,20.0,
733,"City of Miami, FL, United States",United States,GHG emission reduction target," The City of Miami, FL has committed to reduce its Local Government emissions by 25% by 2015 compared to 2007 emission level.",Local Government,2007,,2015,,25.0,
734,"City of Minneapolis, MN, United States",United States,GHG emission reduction target," The City of Minneapolis, MN has committed to reduce its Community emissions by 80% by 2050 compared to 2006 emission level.",Community,2006,,2050,,80.0,
735,"City of North Little Rock, AR, United States",United States,GHG emission reduction target," The City of North Little Rock, AR has committed to reduce its Community emissions by 10% by 2015 compared to 2008 emission level.",Community,2008,,2015,,10.0,
