Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Sequoia Foundation,La Jolla,United States of America,Constituency - Environmental,(1-858)459-0434,(1-858)459-0170,tkelly@kyotousa.org,Mr. Thomas Kelly
Service Civil International (SCI),Antwerpen,Belgium,Constituency - Youth,(32-3) 226-5727,(32-3) 232-0344,info@sciint.org,Ms. Sara Turra
Servicios en Comunicación Intercultural (SERVINDI),Lima,Peru,Constituency - Research and independent,(511) 272 0290,,asistenteservindi@gmail.com,Sr. Rafael Humberto Ponte Calderon
"SEVEn, The Energy Efficiency Center",Prague,Czechia,Constituency - ENGO,(420-2)2425-2115,(420-2)2424-7597,seven@svn.cz,Mr. Jaroslav Marousek
Shakti Sustainable Energy Foundation,New Delhi,India,Constituency - Environmental,(91-11) 4747-4000,(91-11) 4747-4043,info@shaktifoundation.in,Mr. Kunal Sharma
Shan Shui Conservation Center (Shan Shui),Beijing,China,Constituency - Environmental CAN,(86-10) 6276-1034,(86-10) 6276-1035,contact@shanshui.org,Ms. Xiangying Shi
Shandong Society for Sustainable Development (SSSD),Jinan,China,Constituency - Environmental,Shandong,,wpn97@126.com,Mr. Wujun Wen
Shanta Memorial Rehabilitation Centre (SMRC),Bhubaneswar,India,Constituency - Women and Gender,91-674-2300274,91-674-2580020,ashahans10@gmail.com,Ms. Reena Mohanty
Share The World's Resources (STWR),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-207) 609-3034,,info@sharing.org,Mr. Rajesh Makwana
Shell Foundation,London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-20)7934-4212,(44-20)7934-7348,info@shellfoundation.org,Ms. Joanne Ruth Chandler
Shinji Shumeikai (Shumei),Koka,Japan,Constituency - Environmental,(81-748) 82-3140,(81-748) 82-3170,kristinamayo@shumei-international.org,Ms. Kristina Mayo
Sierra Club,Washington,United States of America,Constituency - Environmental CAN,(1-202) 547-1141,(1-202) 547-6009,information@sierraclub.org,Mr. John Coequyt
Sierra Club Canada (SCC),Ottawa,Canada,Constituency - Environmental CAN,(1-613) 241-4611,,scc-admin@sierraclub.ca,Ms. Gretchen Fitzgerald
"SILVA, Arbres, Forêts et Sociétes",Paris,France,Constituency - Environmental,(33-1)4340-1125,(33-1)4340-1295,silva2@wanadoo.fr,Mr. Joseph Francois Racapé
Simon Fraser University (SFU),Burnaby,Canada,Constituency - Research and independent,(1) 778 782 3111,,michael_small@sfu.ca,Mr. Michael Douglas Small
Singapore Environment Council (SEC),Singapore,Singapore,Constituency - ENGO,(65) 6337-6062,(65) 6337-6035,info@sec.org.sg,Mr. Gerard Christopher
SINTEF Foundation (SINTEF),Trondheim,Norway,Constituency - Research and independent,(47) 7359 3000,,info@sintef.no,Ms. Anne Steenstrup-Duch
Sjoham Baabaji Mission,'s-Hertogenbosch,Netherlands,Constituency - Environmental,(31-416) 34-4106,,sohambabamission@gmail.com,Mr. Philip Aartsen
Skies Above Foundation,"Victoria, British Columbia",Canada,Constituency - ENGO,(1-250)391-9223,(1-250)391-9280,skies@islandnet.com,
Skoll Foundation,Palo Alto,United States of America,Constituency - Research and independent,(1-1050) 331-1031,(1-1050) 331-1033,sosberg@skollfoundation.org,Mme Sally R. Osberg
Slow Food,Bra (CN),Italy,Constituency - Environmental,,,a.kanshieva@slowfood.it,Ms. Anna Kanshieva
Small and Medium Scale Entrepreneurship Fundamentals Foundation (SMEFUNDS),Lagos,Nigeria,Constituency - Environmental,(234-803) 708-0251,,coachxx@smefunds.com,Mr. Femi Oye
Small Business and Entrepreneurship Council,Washington,United States of America,Constituency - ENGO,(1-202)785-0238,(1-202)822-8118,kkerrigan@sbecouncil.org,
Smart Energy for Europe Platform (SEFEP) gGmbH,Berlin,Germany,Constituency - Research and independent,+49(0)30 7001435-000,+49(0)30 7001435-129,info@agora-energiewende.de,Ms. Lidia Wojtal
SNV Netherlands Development Organisation (SNV),The Hague,Netherlands,Constituency - Environmental,(31-70) 344-0244,(31-70) 385-5531,info@snvworld.org,Ms. Janne Maria Teule
SOAS University of London,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,+44 (0)20 7637 2388,+44 (0)20 7898 4009,J_Dunn@soas.ac.uk,Mr. James Dunn
Sociedad Argentino Para el Derecho y la Administración del Ambiente y de los Recursos Naturales (SADARN),Buenos Aires,Argentina,Constituency - Environmental,(54-11)4371-5867,(54-11)4371-5867,pigrettilex@elsitio.net,Mr. Eduardo Andres Pigretti
Sociedad Cubana para la Promoción de las Fuentes Renovables de Energía y el Respeto Ambiental (CUBASOLAR),La Habana,Cuba,Constituency - Environmental,(53-7) 640-5260,(53-7) 648-5135,berriz@cubaenergia.cu,Sr. Eliseo Gavilán
Sociedad Meteorologica de Cuba (SOMETCUBA),La Habana,Cuba,Constituency - Research and independent,(537) 830-8996,(537) 866-8010,sometcuba@met.inf.cu,Sr. Andrés H. Planas Lavié
Sociedad Peruana de Derecho Ambiental (SPDA),Lima,Peru,Constituency - Environmental CAN,511 612 4700,511 442 4365,icalle@spda.org.pe,Ms. Isabel Calle Valladares
Sociedad Peruana de Ecodesarrollo (SPDE),Lima,Peru,Constituency - Environmental,511 4249318,,spde@spdecodesarrollo.org,Ms. Angela Lucila Pautrat Oyarzún
Sociedad Rural Argentina (SRA),Buenos Aires,Argentina,Constituency - Business and Industry,(54-1) 322-3431/2030 ext. 130/117 / 5491143244710,(54-1) 325-8231,sra@sra.org.ar,Mr. Raúl Roccatagliata
Sociedade Pesquisa em Vida Salvagem e Educacao Ambiental (SPVS),Curitiba,Brazil,Constituency - Environmental,(554) 130 944 600,(55-41)3242-0280,denilson@spvs.org.br,Mr. Clovis Ricardo Schrappe Borges
Società Italiana per le Scienze del Clima (SISC),Marghera-Venice,Italy,Constituency - Research and independent,+39 041 2346065,,segreteria@sisclima.it,Ms. Martina Gambaro
Society for Development and Community Empowerment (SDCE),Port Harcourt,Nigeria,Constituency - Youth,2348035007405,,sdce02@gmail.com,Mr. Kayode Adedoye
Society for Improving Livelihood (SOIL),India,India,Constituency - Research and independent,+91 4144 228687,,soilsrinivasan@gmail.com,Mr. Padian Srinivasan
Society for Participatory Action and Reflection (SPAR),Kolkota,India,Constituency - Environmental,(91-33) 2473-4339/2980,(91-33) 2473-2984,sparcal@vsnl.com,Mr. Rabindra Nath Middey
Society for Peoples Education and Economic Change (SPEECH),Tamilnadu,India,Constituency - Women and Gender,(91-452) 268-0965,(91-452) 268-0965,mduspeech@gmail.com,Mr. John Devavaram
Society for Rural Development (GBS),Jaipur,India,Constituency - Environmental,(91)-141-2531242,(91) -141-2530719,gbsbsk@sancharnet.in,Mr. Bhawani Shanker Kusum
Society for Threatened Peoples International (STPI),Goettingen,Germany,Constituency - Indigenous peoples,(49-551) 49906-0,(49-551) 5-8028,info@gfbv.de,Mr. Ulrich Delius
Society of Catholic Medical Missionaries (SCMM),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20) 8992-6444,(44-20) 8896-2397,generalate@medicalmissionsisters.org.uk,Ms. Cicilymol Paramundayil
Society of Entrepreneurs and Ecology Foundation (SEE Foundation),Beijing,China,Constituency - Environmental,,,luzhiyao@see.org.cn,Ms. Zhiyao Lu
Solar Century,London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-870)735-8100,(44-00)7803-0101,homes@solarcentury.co.uk,Mr. Jeremy Leggett
Solar Cookers International (SCI),Sacramento,United States of America,Constituency - Environmental,(1-916) 455-4499,(1-916) 455-4498,alan.bigelow@solarcookers.org,Mr. Alan Bigelow
Solar Electric Light Fund (SELF),Washington,United States of America,Constituency - Environmental,(1-202) 234-7265,(1-202) 328-9512,rfreling@self.org,Mr. Robert Freling
Solar Energy Industries Association (SEIA),Washington DC,United States of America,Constituency - Business and Industry,(1-202) 682-0556,(1-202) 682-0559,info@seia.org,Ms. Azra Chughtai
Solar Impulse Foundation,Lausanne,Switzerland,Constituency - Environmental,,,fondation@solarimpulse.com,Mme Charlotte Campiche
Solutions for Our Climate (SFOC),Seoul,Republic of Korea,Constituency - Environmental,,,joojin.kim@forourclimate.org,Ms. Soyoung Lee
Solutions from the Land (SfL),Lutherville,United States of America,Constituency - Farmers,410-252-7079,410-616-9264,info@sfldialogue.net,Ms. Shannon Mott
SONNEschweiz (SOLEILsuisse),Basel,Switzerland,Constituency - ENGO,(41-61)271-5390,(41-61)322-7234,,
SOS Atlantic Forest Foundation,São Paulo,Brazil,Constituency - Environmental,55-11 3262-4088,55-11 3262-4088,malu@rededasaguas.org.br,Ms. Maria Luiza Taborda Borges Ribeiro
SOS SAHEL International France (SOS SAHEL),,France,Constituency - Farmers,33146889370,,contact@sossahel.org,Ms. Emilie Rouxel
South African Institute of International Affairs (SAIIA),Braamfontein,South Africa,Constituency - Research and independent,(27-11) 339-2021,(27-11) 339-2154,info@saiia.org.za,Ms. Desirée Joy Kosciulek
South Asian Forum for Environment (SAFE),Kolkata,India,Constituency - Environmental,00913324329699,00913324329699,office@safeinch.org,Mr. Dipayan Dey
South Central India Network for Development Alternatives (SCINDeA),Tamilnadu,India,Constituency - Environmental,(91-4179) 24-5339 / 29-5488 / 295176,(91-4179) 24-5339,scindea1@gmail.com,Ms. Sheila Benjamin
South Durban Community Environmental Alliance (SDCEA),Durban,South Africa,Constituency - Environmental CJN,(27-31) 461-1991,(27-31) 468-1257,shanusha@sdceango.co.za,Ms. Joanne Kayle Groom
South-South Global Assets and Technology Exchange (SS-GATE),Shanghai,China,Constituency - Business and Industry,(86-21) 6265 7272-199,,baixuemei_2015@163.com,Ms. Xuemei Bai
Southern African Confederation of Agricultural Unions (SACAU),Pretoria,South Africa,Constituency - Farmers,(27-12) 644-0808,(27-12) 667-1335,info@sacau.org,Mr. Ishmael Daniso Sunga
Southern African Faith Communities' Environment Institute (SAFCEI),Cape Town,South Africa,Constituency - Environmental,(27-21) 701-8145,(27-86) 696-9666,secretary@safcei.org.za,Mr. Ameen Benjamin
Southern Centre for Energy and Environment (SCEE),Harare,Zimbabwe,Constituency - Environmental,(263-4)79-5243,(263-4)79-5242,npnzira@comone.co.zw,Mr. Norbert Nziramasanga
Southern Research Institute (SRI),"Research Triangle Park, NC",United States of America,Constituency - ENGO,(1-919)806-3456,(1-919)806-2306,piccot@sri-rtp.com,Mr. Stephen Piccot
SouthSouthNorth Projects Africa (SSN Africa) Emma Ruth Baker,Cape Town,South Africa,Constituency - Environmental,+27 21 447 0211,+27 21 447 3198,emma@southsouthnorth.org,
Sovereignty International,Hollow Rock,United States of America,Constituency - Research and independent,(1-731) 986-3999,(1-731) 986-3999,henry@freedom.org,Mr. Henry Lamb
"St Louis Aquacenter, Inc.",Saint Louis,United States of America,Constituency - Environmental,+1 314 647 6011,+1 314 647 7874,info@cfto.org,Mr. Leonard Sonnenschein
Stakeholder Forum for a Sustainable Future (SF),Herne Bay,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,+44 122 7373271,(44-207) 580-6872,info@stakeholderforum.org,Mr. Charles Allen Nouhan
Stand,San Francisco,United States of America,Constituency - Environmental,1-415-863-4563,,jennifer@stand.earth,Ms. Jennifer Nelson
Stanford University,Stanford,United States of America,Constituency - Environmental,(1-650) 736-8668,(1-650) 725-3402,phines@stanford.edu,Ms. Patricia Hines
"START International, Inc. (START)",Washington,United States of America,Constituency - Research and independent,(1-202) 462-2213,(1-202) 457-5859,start@start.org,Mr. Jonathan Padgham
Stichting Aktie Strohalm (Vliegtax),Groningen,Netherlands,Constituency - ENGO,(31-50)589-0898,(31-842)13-7680,info@vliegtax.nl,
Stichting Climate Action Network South Asia (CANSA),Dhaka,Bangladesh,Constituency - Environmental CAN,00919910096125,,sanjay@cansouthasia.net,Mr. Sanjay Vashist
Stichting Global Reporting Initiative (GRI),Amsterdam,Netherlands,Constituency - Business and Industry,,,ferracioli@globalreporting.org,Ms. Chiara Ferracioli
Stichting Hivos (Humanistisch Instituut voor Ontwikkelingssamenwerking) (Hivos),The Hague,Netherlands,Constituency - Environmental CAN,+31703765500,,hclemens@hivos.org,Ms. Merit Maria Hindriks
"Stichting Partnership on Sustainable, Low Carbon Transport (SLoCaT) Foundation (SLoCaT)",Utrecht,Netherlands,Constituency - Environmental,(32-49)488 5335,,maruxa.cardama@slocatpartnership.org,Ms. Alice Yiu
Stichting Smart Freight Centre (SFC),Amsterdam,Netherlands,Constituency - Environmental,,,mirjam.botman@smartfreightcentre.org,Ms. Mirjam Botman
Stichting Wageningen Research (WR),Wageningen,Netherlands,Constituency - Research and independent,(31-317) 48-0100,(31-317) 48 4884,tim.vanhattum@wur.nl,Mr. Tim van Hattum
Stiftung Mercator Foundation,Essen,Germany,Constituency - Environmental,(49) 201 24522 0,(49) 201 24522 44,info@stiftung-mercator.de,Mr. Lars Grotewold
Stiftung Wald in Not,Bonn,Germany,Constituency - ENGO,(49-228)819-8191,(49-228)819-8192,stiftung@wald-in-not-de,Mr. Christoph Abs
Stockholm Environment Institute (SEI),Stockholm,Sweden,Constituency - Research and independent,(46-8) 674-7070,(46-8) 674-7020,cleo.verkuijl@sei.org,Ms. Cleo Verkuijl
Stockholm International Water Institute (SIWI),Stockholm,Sweden,Constituency - Research and independent,(46-8) 121 360 00,(46-8) 121 360 01,siwi@siwi.org,Ms. Kristina Gunilla Johansson
Stockholm University,Stockholm,Sweden,Constituency - Research and independent,(46-8) 16 2000,(46-8) 16-3866,info@gu.se,Ms. Naghmeh Nasiritousi
STOP,Montréal,Canada,Constituency - Environmental,(1-514)393-9559,(1-514)393-9588,thwelt@sympatico.ca,Mr. Thomas Welt
Stop Climate Chaos Scotland (SCCS),Edinburgh,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-131) 311-6512,(44-131) 311-6569,gail@stopclimatechaosscotland.org,Ms. Gail Wilson
Strömstad Academy,Strömstad,Sweden,Constituency - Research and independent,(46-526) 1-9000,,ari.lampinen@jyu.fi,Mr. Ari Lampinen
Student Energy,Calgary,Canada,Constituency - Youth,646-431-1907,855-790-4064,jtran@studentenergy.org,Ms. Meredith Adler
Sudanese Environment Conservation Society (SECS),Khartoum,Sudan,Constituency - Environmental,(249-183)523606,(249-183)523605,secs1975@yahoo.com,Mr. Muawia Hamid Ibrahim Shaddad
Suomalaiset kehitysjärjestöt - Finnish Development NGOs Fingo ry (Fingo ry),Helsinki,Finland,Constituency - Environmental,+358 50 317 6690,,info@fingo.fi,Ms. Enni Iida Vilhelmiina Kallio
Support for Women in Agriculture and Environment (SWAGEN),Kampala,Uganda,Constituency - Women and Gender,+256772685332,,ruralwomenug@gmail.com,Ms. Gertrude Kabusimbi Kenyangi
Surfrider Foundation Europe (SFE),Biarritz,France,Constituency - Environmental,0033559235499,,acitores@surfrider.eu,Ms. Elodie Bernollin
Sustainability Council of New Zealand Trust,Wellington,New Zealand,Constituency - Environmental CAN,(64-4) 913-3655,(64-4) 913-3760,council@sustainabilitynz.org,Mr. Simon Terry
Sustainability Investment Partners (SIP),Marseilles,France,Constituency - ENGO,(33-4)9611-6820,(33-4)9611-6829,gsdp.marseille@gsdp-gerling.fr,
Sustainable Amazonas Foundation (FAS),Manaus,Brazil,Constituency - Environmental,+55 92 4009 8900,,fas@fas-amazonas.org,Ms. Gabriela Passos Sampaio
Sustainable Business Australia (SBA),Sydney,Australia,Constituency - Business and Industry,(61-2) 9358-1800,(61-2) 9358-1555,sba@sba.asn.au,Mr. Andrew Petersen
Sustainable Development Association (SDA),Somerset,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44 1753) 545 544,(44 1753) 546 663,mary@sustainableda.eu,Mr. Bryan Li
Sustainable Development Policy Institute (SDPI),Islamabad,Pakistan,Constituency - Environmental CAN,(92-51) 227-8134,(92-51) 227-8135,suleri@sdpi.org,Mr. Muhammad Abid Qaiyum Sulehri
Sustainable Development Resource Center (SDRC),Dhaka,Bangladesh,Constituency - Environmental,(88-02) 861-6714,,sdrcbd@gmail.com,Mr. Masood Hasan Siddiqui
Sustainable Energy Africa (SEA),Cape Town,South Africa,Constituency - Environmental CAN,(27-21) 702-3622,(27-21) 702-3625,info@sustainable.org.za,Ms. Simisha Pather-Elias
Sustainable Energy Association Australia Inc. (SEA),Leederville,Australia,Constituency - Business and Industry,(61-8) 9228 1292,(61-8) 9228-1597,info@seaaus.com.au,Ms. Jodi Johnson
Sustainable Energy for All Association for sustainable Energy (SE4ALL Association),Vienna,Austria,Constituency - Environmental,+43676846727200,,info@seforall.org,Ms. Tracey Crowe
Sustainable Energy Institute (SEI),Washington DC,United States of America,Constituency - Environmental,(1-202)466-6600,(1-202)466-3669,rchaparro@s-e-i.org,Mr. Luis Rodrigo Chaparro
Sustainable Environment and Development Foundation (SEDF),Hyderabad,Pakistan,Constituency - Environmental,+923343040393,Sustainable Environment and Development Foundation,sedfngo@gmail.com,Mr. Nasrullah Thahim
Sustainable Environmental Development Watch (SusWatch),Nairobi,Kenya,Constituency - Environmental CAN,+254 721 344 707,,suswatchkenya@gmail.com,Mr. Frank Msafiri Kairura
Sustainable Harvest International,Ellsworth,United States of America,Constituency - Farmers,+1 207 669 8254,,hello@sustainableharvest.org,Mr. Elliott Jackson Powell
